Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
tesst_1,Chrome 104.0.5112.79,,,2022-08-16 15:03:35,2022-08-16 15:03:45,10.019s,PASSED
,,,,,,,
Test Cases/VST_text_recoginzation,Chrome 104.0.5112.79,,,2022-08-16 15:03:35,2022-08-16 15:03:45,9.683s,PASSED
random = new java.util.Random(),Chrome 104.0.5112.79,,,2022-08-16 15:03:35,2022-08-16 15:03:35,0.007s,PASSED
lenghText = random.nextInt(100),Chrome 104.0.5112.79,,,2022-08-16 15:03:35,2022-08-16 15:03:35,0.003s,PASSED
"openBrowser(""https://www.blindtextgenerator.com/lorem-ipsum"")",Chrome 104.0.5112.79,,,2022-08-16 15:03:35,2022-08-16 15:03:40,5.084s,PASSED
"takeScreenshotAsCheckpoint(""base_line"", STOP_ON_FAILURE)",Chrome 104.0.5112.79,,,2022-08-16 15:03:40,2022-08-16 15:03:42,1.774s,PASSED
"clearText(findTestObject(""Object Repository/Page_Dummy_Text/input_Number_idInputWords""))",Chrome 104.0.5112.79,,,2022-08-16 15:03:42,2022-08-16 15:03:43,0.434s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Dummy_Text/input_Number_idInputWords""), lenghText.toString())",Chrome 104.0.5112.79,,,2022-08-16 15:03:43,2022-08-16 15:03:43,0.569s,PASSED
"takeScreenshotAsCheckpoint(""gen_Text"", STOP_ON_FAILURE)",Chrome 104.0.5112.79,,,2022-08-16 15:03:43,2022-08-16 15:03:44,1.195s,PASSED
closeBrowser(),Chrome 104.0.5112.79,,,2022-08-16 15:03:44,2022-08-16 15:03:45,0.182s,PASSED
