Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
tesst_1,Chrome 104.0.5112.79,,,2022-08-16 14:49:31,2022-08-16 14:49:51,20.026s,ERROR
,,,,,,,
Test Cases/VST_text_recoginzation,Chrome 104.0.5112.79,,,2022-08-16 14:49:47,2022-08-16 14:49:51,4.380s,ERROR
random = new java.util.Random(),Chrome 104.0.5112.79,,,2022-08-16 14:49:47,2022-08-16 14:49:47,0.001s,PASSED
"openBrowser(""https://www.blindtextgenerator.com/lorem-ipsum"")",Chrome 104.0.5112.79,,,2022-08-16 14:49:47,2022-08-16 14:49:51,3.807s,PASSED
"clearText(findTestObject(""Object Repository/Page_Dummy_Text/input_Number_idInputWords""))",Chrome 104.0.5112.79,,,2022-08-16 14:49:51,2022-08-16 14:49:51,0.507s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Dummy_Text/input_Number_idInputWords""), random.nextInt(120 + 1))",Chrome 104.0.5112.79,,,2022-08-16 14:49:51,2022-08-16 14:49:51,0.047s,ERROR
