Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
tesst_1,Chrome 104.0.5112.79,,,2022-08-16 14:44:26,2022-08-16 14:44:36,10.515s,PASSED
,,,,,,,
Test Cases/VST_text_recoginzation,Chrome 104.0.5112.79,,,2022-08-16 14:44:26,2022-08-16 14:44:36,10.138s,PASSED
"openBrowser(""https://www.blindtextgenerator.com/lorem-ipsum"")",Chrome 104.0.5112.79,,,2022-08-16 14:44:27,2022-08-16 14:44:33,5.808s,PASSED
"clearText(findTestObject(""Object Repository/Page_Dummy_Text/input_Number_idInputWords""))",Chrome 104.0.5112.79,,,2022-08-16 14:44:33,2022-08-16 14:44:33,0.559s,PASSED
"takeScreenshotAsCheckpoint(""gen_Text"", STOP_ON_FAILURE)",Chrome 104.0.5112.79,,,2022-08-16 14:44:33,2022-08-16 14:44:36,2.695s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Dummy_Text/input_Number_idInputWords""), ""20"")",Chrome 104.0.5112.79,,,2022-08-16 14:44:36,2022-08-16 14:44:36,0.641s,PASSED
