Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
tesst_1,Chrome 104.0.5112.79,,,2022-08-16 15:01:07,2022-08-16 15:01:22,14.201s,PASSED
,,,,,,,
Test Cases/VST_text_recoginzation,Chrome 104.0.5112.79,,,2022-08-16 15:01:08,2022-08-16 15:01:22,13.872s,PASSED
random = new java.util.Random(),Chrome 104.0.5112.79,,,2022-08-16 15:01:08,2022-08-16 15:01:08,0.029s,PASSED
lenghText = random.nextInt(100),Chrome 104.0.5112.79,,,2022-08-16 15:01:08,2022-08-16 15:01:08,0.003s,PASSED
"openBrowser(""https://www.blindtextgenerator.com/lorem-ipsum"")",Chrome 104.0.5112.79,,,2022-08-16 15:01:08,2022-08-16 15:01:15,6.156s,PASSED
"clearText(findTestObject(""Object Repository/Page_Dummy_Text/input_Number_idInputWords""))",Chrome 104.0.5112.79,,,2022-08-16 15:01:15,2022-08-16 15:01:16,1.750s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Dummy_Text/input_Number_idInputWords""), lenghText.toString())",Chrome 104.0.5112.79,,,2022-08-16 15:01:16,2022-08-16 15:01:18,2.056s,PASSED
"takeScreenshotAsCheckpoint(""gen_Text"", STOP_ON_FAILURE)",Chrome 104.0.5112.79,,,2022-08-16 15:01:18,2022-08-16 15:01:21,3.061s,PASSED
closeBrowser(),Chrome 104.0.5112.79,,,2022-08-16 15:01:21,2022-08-16 15:01:22,0.196s,PASSED
