Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
tesst_1,Chrome 104.0.5112.79,,,2022-08-16 15:40:55,2022-08-16 15:41:06,10.777s,PASSED
,,,,,,,
Test Cases/VST_text_recoginzation,Chrome 104.0.5112.79,,,2022-08-16 15:40:56,2022-08-16 15:41:06,10.452s,PASSED
random = new java.util.Random(),Chrome 104.0.5112.79,,,2022-08-16 15:40:56,2022-08-16 15:40:56,0.006s,PASSED
lenghText = random.nextInt(100),Chrome 104.0.5112.79,,,2022-08-16 15:40:56,2022-08-16 15:40:56,0.002s,PASSED
"openBrowser(""https://www.blindtextgenerator.com/lorem-ipsum"")",Chrome 104.0.5112.79,,,2022-08-16 15:40:56,2022-08-16 15:41:02,5.360s,PASSED
maximizeWindow(),Chrome 104.0.5112.79,,,2022-08-16 15:41:02,2022-08-16 15:41:02,0.158s,PASSED
"takeScreenshotAsCheckpoint(""base_line"", STOP_ON_FAILURE)",Chrome 104.0.5112.79,,,2022-08-16 15:41:02,2022-08-16 15:41:04,1.746s,PASSED
"clearText(findTestObject(""Object Repository/Page_Dummy_Text/input_Number_idInputWords""))",Chrome 104.0.5112.79,,,2022-08-16 15:41:04,2022-08-16 15:41:04,0.661s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Dummy_Text/input_Number_idInputWords""), lenghText.toString())",Chrome 104.0.5112.79,,,2022-08-16 15:41:04,2022-08-16 15:41:05,0.552s,PASSED
"takeScreenshotAsCheckpoint(""gen_Text"", STOP_ON_FAILURE)",Chrome 104.0.5112.79,,,2022-08-16 15:41:05,2022-08-16 15:41:06,1.299s,PASSED
closeBrowser(),Chrome 104.0.5112.79,,,2022-08-16 15:41:06,2022-08-16 15:41:06,0.229s,PASSED
