Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
tesst_1,Chrome 104.0.5112.79,,,2022-08-16 15:32:33,2022-08-16 15:32:45,12.703s,PASSED
,,,,,,,
Test Cases/VST_text_recoginzation,Chrome 104.0.5112.79,,,2022-08-16 15:32:33,2022-08-16 15:32:45,12.261s,PASSED
random = new java.util.Random(),Chrome 104.0.5112.79,,,2022-08-16 15:32:34,2022-08-16 15:32:34,0.007s,PASSED
lenghText = random.nextInt(100),Chrome 104.0.5112.79,,,2022-08-16 15:32:34,2022-08-16 15:32:34,0.002s,PASSED
"openBrowser(""https://www.blindtextgenerator.com/lorem-ipsum"")",Chrome 104.0.5112.79,,,2022-08-16 15:32:34,2022-08-16 15:32:40,6.479s,PASSED
"takeScreenshotAsCheckpoint(""base_line"", STOP_ON_FAILURE)",Chrome 104.0.5112.79,,,2022-08-16 15:32:40,2022-08-16 15:32:43,2.498s,PASSED
"clearText(findTestObject(""Object Repository/Page_Dummy_Text/input_Number_idInputWords""))",Chrome 104.0.5112.79,,,2022-08-16 15:32:43,2022-08-16 15:32:43,0.460s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Dummy_Text/input_Number_idInputWords""), lenghText.toString())",Chrome 104.0.5112.79,,,2022-08-16 15:32:43,2022-08-16 15:32:44,0.657s,PASSED
"takeScreenshotAsCheckpoint(""gen_Text"", STOP_ON_FAILURE)",Chrome 104.0.5112.79,,,2022-08-16 15:32:44,2022-08-16 15:32:45,1.440s,PASSED
closeBrowser(),Chrome 104.0.5112.79,,,2022-08-16 15:32:45,2022-08-16 15:32:45,0.189s,PASSED
