Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
tesst_1,Chrome 104.0.5112.79,,,2022-08-16 14:32:17,2022-08-16 14:32:26,8.894s,PASSED
,,,,,,,
Test Cases/VST_text_recoginzation,Chrome 104.0.5112.79,,,2022-08-16 14:32:17,2022-08-16 14:32:26,8.577s,PASSED
"openBrowser(""https://www.blindtextgenerator.com/lorem-ipsum"")",Chrome 104.0.5112.79,,,2022-08-16 14:32:18,2022-08-16 14:32:23,4.975s,PASSED
"takeScreenshotAsCheckpoint(""gen_Text"", STOP_ON_FAILURE)",Chrome 104.0.5112.79,,,2022-08-16 14:32:23,2022-08-16 14:32:25,1.867s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Dummy_Text/input_Number_idInputWords""), """")",Chrome 104.0.5112.79,,,2022-08-16 14:32:25,2022-08-16 14:32:25,0.645s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Dummy_Text/input_Number_idInputWords""), ""100"")",Chrome 104.0.5112.79,,,2022-08-16 14:32:25,2022-08-16 14:32:26,0.525s,PASSED
closeBrowser(),Chrome 104.0.5112.79,,,2022-08-16 14:32:26,2022-08-16 14:32:26,0.172s,PASSED
