Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
tesst_1,Chrome 104.0.5112.79,,,2022-08-16 14:44:32,2022-08-16 14:44:41,8.781s,PASSED
,,,,,,,
Test Cases/VST_text_recoginzation,Chrome 104.0.5112.79,,,2022-08-16 14:44:33,2022-08-16 14:44:41,8.437s,PASSED
"openBrowser(""https://www.blindtextgenerator.com/lorem-ipsum"")",Chrome 104.0.5112.79,,,2022-08-16 14:44:33,2022-08-16 14:44:38,4.997s,PASSED
"clearText(findTestObject(""Object Repository/Page_Dummy_Text/input_Number_idInputWords""))",Chrome 104.0.5112.79,,,2022-08-16 14:44:38,2022-08-16 14:44:38,0.533s,PASSED
"takeScreenshotAsCheckpoint(""gen_Text"", STOP_ON_FAILURE)",Chrome 104.0.5112.79,,,2022-08-16 14:44:38,2022-08-16 14:44:40,1.926s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Dummy_Text/input_Number_idInputWords""), ""20"")",Chrome 104.0.5112.79,,,2022-08-16 14:44:40,2022-08-16 14:44:41,0.536s,PASSED
